date,cumul_casConfirmes
2020-03-01,
2020-03-02,191
2020-03-03,212
2020-03-04,285
2020-03-05,423
2020-03-06,613
2020-03-07,949
2020-03-08,1126
2020-03-09,1412
2020-03-10,1784
2020-03-11,2281
2020-03-12,2876
2020-03-13,3661
2020-03-14,4500
2020-03-15,5423
2020-03-16,6633
2020-03-17,7730
2020-03-18,9134
2020-03-19,10995
2020-03-20,12612
2020-03-21,14459
2020-03-22,16689
2020-03-23,19856
2020-03-24,22302
2020-03-25,25233
2020-03-26,29155
2020-03-27,32964
2020-03-28,37575
2020-03-29,40174
2020-03-30,44550
2020-03-31,52128
2020-04-01,56989
2020-04-02,59105
2020-04-03,64338
2020-04-04,68605
2020-04-05,70478
2020-04-06,74390
2020-04-07,78167
2020-04-08,82048
2020-04-09,86334
2020-04-10,90676
2020-04-11,93790
2020-04-12,95403
2020-04-13,98076
2020-04-14,103573
2020-04-15,106206
2020-04-16,108847
2020-04-17,109252
2020-04-18,111821
2020-04-19,112606
2020-04-20,114657
2020-04-21,117324
2020-04-22,119151
2020-04-23,120804
2020-04-24,122577
2020-04-25,124114
2020-04-26,124575
2020-04-27,128339
2020-04-28,129859
2020-04-29,128442
2020-04-30,129581
2020-05-01,130185
2020-05-02,130979
2020-05-03,131287
2020-05-04,131863
2020-05-05,132967
2020-05-06,137150
2020-05-07,137779
2020-05-08,138421
2020-05-09,138854
2020-05-10,139063
2020-05-11,139519
2020-05-12,140227
2020-05-13,140734
2020-05-14,141356
2020-05-15,141919
2020-05-16,142291
2020-05-17,142411
2020-05-18,142903
2020-05-19,143427
2020-05-20,143845
2020-05-21,144163
2020-05-22,144556
2020-05-23,144806
2020-05-24,144921
2020-05-25,145279
2020-05-26,145555
2020-05-27,145746
2020-05-28,149071
2020-05-29,149668
2020-05-30,151496
2020-05-31,151753
2020-06-01,152091
2020-06-02,151325
2020-06-03,151677
2020-06-04,152444
2020-06-05,153055
2020-06-06,153634
2020-06-07,153977
2020-06-08,154188
2020-06-09,154591
2020-06-10,155136
2020-06-11,155561
2020-06-12,156287
2020-06-13,156813
2020-06-14,157220
2020-06-15,157372
2020-06-16,157716
2020-06-17,158174
2020-06-18,158641
2020-06-19,159452
2020-06-20,160093
2020-06-21,160377
2020-06-22,160750
2020-06-23,161267
2020-06-24,161348
2020-06-25,161348
2020-06-26,162936
2020-06-27,163454
2020-06-28,163980
2020-06-29,164260
2020-06-30,164801
2020-07-01,165719
2020-07-02,166378
2020-07-03,166960
2020-07-04,167711
2020-07-05,168159
2020-07-06,168335
2020-07-07,168810
2020-07-08,169473
2020-07-09,170094
2020-07-10,170752
2020-07-11,171504
2020-07-12,172089
2020-07-13,172377
2020-07-14,172888
2020-07-15,173304
2020-07-16,173838
2020-07-17,174674
2020-07-18,175639
2020-07-19,176404
2020-07-20,176754
2020-07-21,177338
2020-07-22,178336
2020-07-23,179398
2020-07-24,180528
2020-07-25,181636
2020-07-26,182565
2020-07-27,183079
2020-07-28,183804
2020-07-29,185196
2020-07-30,186573
2020-07-31,187919
2020-08-01,189547
2020-08-02,190739
2020-08-03,191295
2020-08-04,192334
2020-08-05,194029
2020-08-06,195633
2020-08-07,197921
2020-08-08,200105
2020-08-09,201990
2020-08-10,202775
2020-08-11,204172
2020-08-12,206696
2020-08-13,209365
2020-08-14,212211
2020-08-15,215521
2020-08-16,218536
2020-08-17,219029
2020-08-18,221267
2020-08-19,225043
2020-08-20,229814
2020-08-21,234400
2020-08-22,238002
2020-08-23,242899
2020-08-24,244854
2020-08-25,248158
2020-08-26,253587
2020-08-27,259698
2020-08-28,267077
2020-08-29,272530
2020-08-30,277943
2020-08-31,281025
2020-09-01,286007
2020-09-02,293024
2020-09-03,300181
2020-09-04,309156
2020-09-05,317706
2020-09-06,324777
2020-09-07,328980
2020-09-08,335524
2020-09-09,344101
2020-09-10,353944
2020-09-11,363350
2020-09-12,373911
2020-09-13,381094
2020-09-14,387252
2020-09-15,395104
2020-09-16,404888
2020-09-17,415481
2020-09-18,428696
2020-09-19,442194
2020-09-20,452763
2020-09-21,458061
2020-09-22,468069
2020-09-23,481141
2020-09-24,497237
2020-09-25,513034
2020-09-26,527446
2020-09-27,538569
2020-09-28,542639
2020-09-29,550690
2020-09-30,563535
2020-10-01,577505
2020-10-02,589653
2020-10-03,606625
2020-10-04,619190
2020-10-05,624274
2020-10-06,634763
2020-10-07,653509
2020-10-08,671638
2020-10-09,691977
2020-10-10,718873
2020-10-11,734974
2020-10-12,743479
2020-10-13,756472
2020-10-14,779063
2020-10-15,809684
2020-10-16,834770
2020-10-17,867197
2020-10-18,897034
2020-10-19,910277
2020-10-20,930745
